cpu_assignment,ratelimit(us),max_latency(ns),max_latency(us)
many_to_many,100,285040,285
many_to_many,100,130190,130
many_to_many,100,215800,216
many_to_many,100,153180,153
many_to_many,100,287650,288
many_to_many,100,598630,599
many_to_many,100,170090,170
many_to_many,100,327620,328
many_to_many,100,138930,139
many_to_many,100,121350,121
many_to_many,100,131850,132
many_to_many,100,148110,148
many_to_many,100,381750,382
many_to_many,100,269690,270
many_to_many,100,131350,131
many_to_many,100,316830,317
many_to_many,100,275760,276
many_to_many,100,152200,152
many_to_many,100,151820,152
many_to_many,100,157440,157
many_to_many,100,136780,137
many_to_many,100,280630,281
many_to_many,100,446900,447
many_to_many,100,457150,457
many_to_many,100,399290,399
many_to_many,100,406830,407
many_to_many,100,424050,424
many_to_many,100,219440,219
many_to_many,100,303210,303
many_to_many,100,291620,292
many_to_many,500,173040,173
many_to_many,500,622680,623
many_to_many,500,384180,384
many_to_many,500,158690,159
many_to_many,500,439280,439
many_to_many,500,406560,407
many_to_many,500,362320,362
many_to_many,500,315510,316
many_to_many,500,155730,156
many_to_many,500,241350,241
many_to_many,500,131820,132
many_to_many,500,368910,369
many_to_many,500,398450,398
many_to_many,500,165850,166
many_to_many,500,139560,140
many_to_many,500,163780,164
many_to_many,500,195180,195
many_to_many,500,172320,172
many_to_many,500,450880,451
many_to_many,500,195010,195
many_to_many,500,233640,234
many_to_many,500,159950,160
many_to_many,500,199250,199
many_to_many,500,191140,191
many_to_many,500,275430,275
many_to_many,500,131840,132
many_to_many,500,200510,201
many_to_many,500,238650,239
many_to_many,500,164420,164
many_to_many,500,331450,331
many_to_many,1000,220530,221
many_to_many,1000,391630,392
many_to_many,1000,593110,593
many_to_many,1000,445380,445
many_to_many,1000,125710,126
many_to_many,1000,311250,311
many_to_many,1000,166130,166
many_to_many,1000,419160,419
many_to_many,1000,337040,337
many_to_many,1000,129790,130
many_to_many,1000,528200,528
many_to_many,1000,159120,159
many_to_many,1000,223310,223
many_to_many,1000,359350,359
many_to_many,1000,363350,363
many_to_many,1000,124900,125
many_to_many,1000,432470,432
many_to_many,1000,117000,117
many_to_many,1000,135020,135
many_to_many,1000,126110,126
many_to_many,1000,168100,168
many_to_many,1000,164030,164
many_to_many,1000,182050,182
many_to_many,1000,150970,151
many_to_many,1000,157480,157
many_to_many,1000,314880,315
many_to_many,1000,150980,151
many_to_many,1000,121650,122
many_to_many,1000,135670,136
many_to_many,1000,140390,140
many_to_many,5000,363990,364
many_to_many,5000,139190,139
many_to_many,5000,136130,136
many_to_many,5000,133910,134
many_to_many,5000,83860,84
many_to_many,5000,122180,122
many_to_many,5000,314100,314
many_to_many,5000,129830,130
many_to_many,5000,151120,151
many_to_many,5000,169590,170
many_to_many,5000,150210,150
many_to_many,5000,137710,138
many_to_many,5000,294080,294
many_to_many,5000,82180,82
many_to_many,5000,127550,128
many_to_many,5000,153570,154
many_to_many,5000,132080,132
many_to_many,5000,189280,189
many_to_many,5000,147940,148
many_to_many,5000,138120,138
many_to_many,5000,94250,94
many_to_many,5000,125400,125
many_to_many,5000,72740,73
many_to_many,5000,150770,151
many_to_many,5000,141290,141
many_to_many,5000,354940,355
many_to_many,5000,154170,154
many_to_many,5000,134500,135
many_to_many,5000,150690,151
many_to_many,5000,146740,147
one_to_one,100,70540,71
one_to_one,100,68680,69
one_to_one,100,70010,70
one_to_one,100,69690,70
one_to_one,100,70500,71
one_to_one,100,69520,70
one_to_one,100,73690,74
one_to_one,100,67640,68
one_to_one,100,88800,89
one_to_one,100,75560,76
one_to_one,100,68950,69
one_to_one,100,80990,81
one_to_one,100,67980,68
one_to_one,100,70510,71
one_to_one,100,70470,70
one_to_one,100,68470,68
one_to_one,100,72640,73
one_to_one,100,69330,69
one_to_one,100,67100,67
one_to_one,100,69860,70
one_to_one,100,66520,67
one_to_one,100,70640,71
one_to_one,100,69340,69
one_to_one,100,68310,68
one_to_one,100,85280,85
one_to_one,100,69190,69
one_to_one,100,70270,70
one_to_one,100,69300,69
one_to_one,100,74220,74
one_to_one,100,68090,68
one_to_one,500,69230,69
one_to_one,500,70700,71
one_to_one,500,66780,67
one_to_one,500,70300,70
one_to_one,500,81070,81
one_to_one,500,71230,71
one_to_one,500,70740,71
one_to_one,500,67590,68
one_to_one,500,70170,70
one_to_one,500,69210,69
one_to_one,500,68220,68
one_to_one,500,72480,72
one_to_one,500,72130,72
one_to_one,500,69180,69
one_to_one,500,68470,68
one_to_one,500,70780,71
one_to_one,500,67440,67
one_to_one,500,73930,74
one_to_one,500,70040,70
one_to_one,500,66640,67
one_to_one,500,66610,67
one_to_one,500,68610,69
one_to_one,500,70010,70
one_to_one,500,77350,77
one_to_one,500,70180,70
one_to_one,500,69380,69
one_to_one,500,70560,71
one_to_one,500,69720,70
one_to_one,500,66650,67
one_to_one,500,70870,71
one_to_one,1000,66950,67
one_to_one,1000,67460,67
one_to_one,1000,66750,67
one_to_one,1000,68320,68
one_to_one,1000,70160,70
one_to_one,1000,76700,77
one_to_one,1000,69120,69
one_to_one,1000,71830,72
one_to_one,1000,68180,68
one_to_one,1000,68710,69
one_to_one,1000,67870,68
one_to_one,1000,89520,90
one_to_one,1000,69800,70
one_to_one,1000,69710,70
one_to_one,1000,69940,70
one_to_one,1000,67480,67
one_to_one,1000,69670,70
one_to_one,1000,68240,68
one_to_one,1000,69010,69
one_to_one,1000,67370,67
one_to_one,1000,70290,70
one_to_one,1000,82590,83
one_to_one,1000,69460,69
one_to_one,1000,67280,67
one_to_one,1000,68100,68
one_to_one,1000,68730,69
one_to_one,1000,69570,70
one_to_one,1000,67280,67
one_to_one,1000,68280,68
one_to_one,1000,69510,70
one_to_one,5000,67940,68
one_to_one,5000,69870,70
one_to_one,5000,67930,68
one_to_one,5000,69100,69
one_to_one,5000,67660,68
one_to_one,5000,66230,66
one_to_one,5000,69930,70
one_to_one,5000,74320,74
one_to_one,5000,71430,71
one_to_one,5000,93890,94
one_to_one,5000,75970,76
one_to_one,5000,69350,69
one_to_one,5000,75590,76
one_to_one,5000,68100,68
one_to_one,5000,80580,81
one_to_one,5000,70540,71
one_to_one,5000,70980,71
one_to_one,5000,92250,92
one_to_one,5000,68180,68
one_to_one,5000,74080,74
one_to_one,5000,74900,75
one_to_one,5000,75790,76
one_to_one,5000,70550,71
one_to_one,5000,68500,69
one_to_one,5000,69490,69
one_to_one,5000,71660,72
one_to_one,5000,70030,70
one_to_one,5000,66580,67
one_to_one,5000,70800,71
one_to_one,5000,69710,70
many_to_many,100,125630,126
many_to_many,100,135700,136
many_to_many,100,407630,408
many_to_many,100,100530,101
many_to_many,100,157500,158
many_to_many,100,110310,110
many_to_many,100,267000,267
many_to_many,100,96150,96
many_to_many,100,118230,118
many_to_many,100,100750,101
many_to_many,100,297800,298
many_to_many,100,98360,98
many_to_many,100,124540,125
many_to_many,100,107640,108
many_to_many,100,121230,121
many_to_many,100,126080,126
