cpu_assignment,budget_on_period(us),max_latency(ns),max_latency(us)
many_to_many,5k/10k,189140,189
many_to_many,5k/10k,170890,171
many_to_many,5k/10k,161870,162
many_to_many,5k/10k,146280,146
many_to_many,5k/10k,145440,145
many_to_many,10k/10k,145080,145
many_to_many,5k/10k,140740,141
many_to_many,5k/10k,136990,137
many_to_many,10k/10k,129360,129
many_to_many,5k/10k,127510,128
many_to_many,10k/10k,119120,119
many_to_many,5k/10k,115090,115
many_to_many,3k/9k,114360,114
many_to_many,5k/10k,107070,107
many_to_many,10k/10k,103930,104
many_to_many,5k/10k,103760,104
many_to_many,3k/9k,101480,101
many_to_many,3k/9k,99390,99
many_to_many,5k/10k,98110,98
many_to_many,5k/10k,98020,98
many_to_many,5k/10k,96330,96
many_to_many,3k/9k,92900,93
many_to_many,3k/9k,91730,92
many_to_many,3k/9k,89500,90
many_to_many,3k/9k,88690,89
many_to_many,3k/9k,88140,88
many_to_many,5k/10k,85580,86
many_to_many,3k/9k,85250,85
many_to_many,3k/9k,84720,85
many_to_many,3k/9k,83770,84
many_to_many,3k/9k,80090,80
many_to_many,3k/9k,78550,79
many_to_many,3k/9k,78130,78
many_to_many,3k/9k,75690,76
many_to_many,3k/9k,75690,76
many_to_many,3k/9k,74090,74
many_to_many,3k/9k,73850,74
many_to_many,3k/9k,71600,72
many_to_many,5k/10k,71380,71
many_to_many,3k/9k,70390,70
many_to_many,3k/9k,69630,70
many_to_many,10k/10k,67200,67
many_to_many,3k/9k,66900,67
many_to_many,5k/10k,66500,67
many_to_many,10k/10k,66210,66
many_to_many,3k/9k,65560,66
many_to_many,10k/10k,65330,65
many_to_many,5k/10k,64930,65
many_to_many,5k/10k,64710,65
many_to_many,5k/10k,63760,64
many_to_many,10k/10k,63020,63
many_to_many,3k/9k,61620,62
many_to_many,5k/10k,60420,60
many_to_many,3k/9k,60160,60
many_to_many,3k/9k,59810,60
many_to_many,3k/9k,59600,60
many_to_many,10k/10k,58220,58
many_to_many,3k/9k,57570,58
many_to_many,5k/10k,57290,57
many_to_many,3k/9k,56260,56
many_to_many,5k/10k,55440,55
many_to_many,3k/9k,55180,55
many_to_many,5k/10k,55180,55
many_to_many,1k/5k,54290,54
many_to_many,1k/5k,53930,54
many_to_many,1k/5k,53710,54
many_to_many,1k/5k,53660,54
many_to_many,1k/5k,53640,54
one_to_one,3k/9k,53610,54
many_to_many,5k/10k,53600,54
one_to_one,10k/10k,53590,54
many_to_many,1k/5k,53440,53
many_to_many,1k/5k,53370,53
many_to_many,5k/10k,53280,53
many_to_many,1k/5k,53240,53
many_to_many,10k/10k,53020,53
many_to_many,1k/5k,52960,53
many_to_many,1k/5k,52960,53
one_to_one,10k/10k,52690,53
many_to_many,1k/5k,52570,53
many_to_many,1k/5k,52350,52
many_to_many,5k/10k,52310,52
many_to_many,1k/5k,52270,52
one_to_one,3k/9k,52270,52
one_to_one,3k/9k,52050,52
many_to_many,1k/5k,52040,52
many_to_many,10k/10k,52000,52
many_to_many,10k/10k,51760,52
many_to_many,1k/5k,51750,52
many_to_many,1k/5k,51700,52
many_to_many,1k/5k,51650,52
one_to_one,10k/10k,51650,52
many_to_many,1k/5k,51630,52
many_to_many,1k/5k,51410,51
many_to_many,1k/5k,51210,51
many_to_many,1k/5k,51120,51
many_to_many,1k/5k,51050,51
many_to_many,1k/5k,51050,51
many_to_many,1k/5k,51000,51
many_to_many,1k/5k,50480,50
many_to_many,1k/5k,50450,50
many_to_many,5k/10k,50350,50
one_to_one,1k/5k,50310,50
many_to_many,10k/10k,50260,50
many_to_many,1k/5k,50130,50
many_to_many,1k/5k,49980,50
many_to_many,10k/10k,49830,50
one_to_one,1k/5k,49760,50
one_to_one,3k/9k,49700,50
many_to_many,5k/10k,49220,49
many_to_many,10k/10k,49060,49
one_to_one,1k/5k,48980,49
many_to_many,1k/5k,48870,49
many_to_many,10k/10k,48860,49
many_to_many,1k/5k,48550,49
one_to_one,1k/5k,48120,48
one_to_one,1k/5k,47940,48
many_to_many,10k/10k,47610,48
one_to_one,1k/5k,47340,47
many_to_many,10k/10k,47170,47
many_to_many,5k/10k,47010,47
many_to_many,10k/10k,46410,46
one_to_one,1k/5k,46250,46
one_to_one,3k/9k,46230,46
one_to_one,1k/5k,46000,46
one_to_one,3k/9k,45920,46
one_to_one,3k/9k,45050,45
one_to_one,3k/9k,44970,45
one_to_one,10k/10k,44490,44
many_to_many,10k/10k,44170,44
one_to_one,1k/5k,43980,44
one_to_one,5k/10k,43600,44
one_to_one,1k/5k,43420,43
one_to_one,1k/5k,43270,43
one_to_one,5k/10k,43070,43
one_to_one,1k/5k,42940,43
one_to_one,1k/5k,42940,43
one_to_one,5k/10k,42810,43
many_to_many,10k/10k,42790,43
one_to_one,10k/10k,42740,43
one_to_one,5k/10k,42730,43
many_to_many,10k/10k,42710,43
one_to_one,1k/5k,42480,42
one_to_one,10k/10k,42470,42
one_to_one,3k/9k,42330,42
one_to_one,1k/5k,42290,42
one_to_one,5k/10k,42270,42
one_to_one,1k/5k,42170,42
one_to_one,3k/9k,41970,42
one_to_one,10k/10k,41940,42
one_to_one,1k/5k,41920,42
one_to_one,5k/10k,41910,42
one_to_one,3k/9k,41850,42
one_to_one,3k/9k,41820,42
one_to_one,1k/5k,41800,42
one_to_one,3k/9k,41690,42
one_to_one,10k/10k,41570,42
one_to_one,5k/10k,41480,41
one_to_one,1k/5k,41420,41
one_to_one,1k/5k,41410,41
one_to_one,10k/10k,41390,41
one_to_one,1k/5k,41360,41
one_to_one,10k/10k,41330,41
many_to_many,10k/10k,41290,41
one_to_one,1k/5k,41280,41
one_to_one,5k/10k,41280,41
one_to_one,5k/10k,41210,41
one_to_one,1k/5k,41150,41
one_to_one,5k/10k,41150,41
one_to_one,5k/10k,41140,41
one_to_one,3k/9k,41090,41
one_to_one,3k/9k,41070,41
one_to_one,1k/5k,41020,41
one_to_one,10k/10k,41020,41
one_to_one,10k/10k,41020,41
one_to_one,3k/9k,40990,41
one_to_one,10k/10k,40990,41
one_to_one,3k/9k,40980,41
one_to_one,3k/9k,40960,41
one_to_one,5k/10k,40960,41
one_to_one,10k/10k,40930,41
one_to_one,5k/10k,40920,41
one_to_one,1k/5k,40910,41
one_to_one,10k/10k,40900,41
one_to_one,10k/10k,40870,41
one_to_one,1k/5k,40830,41
one_to_one,10k/10k,40700,41
one_to_one,5k/10k,40690,41
one_to_one,3k/9k,40670,41
one_to_one,3k/9k,40640,41
one_to_one,5k/10k,40620,41
one_to_one,5k/10k,40590,41
one_to_one,10k/10k,40580,41
one_to_one,1k/5k,40550,41
many_to_many,10k/10k,40540,41
one_to_one,10k/10k,40530,41
one_to_one,10k/10k,40520,41
one_to_one,1k/5k,40510,41
one_to_one,3k/9k,40470,40
one_to_one,5k/10k,40460,40
one_to_one,5k/10k,40430,40
one_to_one,10k/10k,40420,40
one_to_one,10k/10k,40400,40
one_to_one,10k/10k,40380,40
one_to_one,10k/10k,40370,40
one_to_one,5k/10k,40340,40
one_to_one,3k/9k,40320,40
one_to_one,5k/10k,40320,40
one_to_one,5k/10k,40300,40
one_to_one,5k/10k,40300,40
one_to_one,3k/9k,40270,40
one_to_one,3k/9k,40250,40
one_to_one,3k/9k,40250,40
one_to_one,10k/10k,40250,40
one_to_one,3k/9k,40230,40
one_to_one,10k/10k,40180,40
one_to_one,3k/9k,40170,40
one_to_one,5k/10k,40170,40
one_to_one,5k/10k,39970,40
one_to_one,1k/5k,39870,40
one_to_one,5k/10k,39860,40
one_to_one,5k/10k,39800,40
one_to_one,10k/10k,39710,40
many_to_many,10k/10k,39700,40
one_to_one,5k/10k,39660,40
one_to_one,10k/10k,39620,40
one_to_one,5k/10k,39600,40
one_to_one,1k/5k,39580,40
one_to_one,10k/10k,39480,39
one_to_one,3k/9k,39470,39
one_to_one,5k/10k,39400,39
one_to_one,3k/9k,39370,39
one_to_one,5k/10k,39230,39
one_to_one,10k/10k,39210,39
one_to_one,3k/9k,38410,38
many_to_many,10k/10k,38200,38
many_to_many,10k/10k,37690,38
many_to_many,10k/10k,36140,36
many_to_many,10k/10k,35540,36
many_to_many,10k/10k,35210,35
many_to_many,10k/10k,180920,181
many_to_many,10k/10k,178560,179
many_to_many,10k/10k,175120,175
many_to_many,10k/10k,172420,172
many_to_many,10k/10k,172360,172
many_to_many,5k/10k,169830,170
many_to_many,10k/10k,168060,168
many_to_many,10k/10k,165360,165
many_to_many,5k/10k,158270,158
many_to_many,10k/10k,145340,145
many_to_many,5k/10k,141660,142
many_to_many,5k/10k,137410,137
many_to_many,10k/10k,130910,131
many_to_many,10k/10k,127740,128
many_to_many,5k/10k,125450,125
