disturb,scheduler,max_latency(ns),max_latency(us)
cpu_disturb,credit2,622680,623
cpu_disturb,credit2,598630,599
cpu_disturb,credit2,593110,593
nodisturb,credit2,586250,586
cpu_disturb,credit2,528200,528
cpu_disturb,credit2,457150,457
cpu_disturb,credit2,450880,451
cpu_disturb,credit2,446900,447
cpu_disturb,credit2,445380,445
cpu_disturb,credit2,439280,439
cpu_disturb,credit2,432470,432
nodisturb,credit2,427100,427
cpu_disturb,credit2,424050,424
cpu_disturb,credit2,419160,419
nodisturb,credit2,407630,408
cpu_disturb,credit2,406830,407
cpu_disturb,credit2,406560,407
cpu_disturb,credit2,399290,399
cpu_disturb,credit2,398450,398
nodisturb,credit2,397880,398
cpu_disturb,credit2,391630,392
cpu_disturb,credit2,384180,384
cpu_disturb,credit2,381750,382
nodisturb,credit2,371980,372
nodisturb,credit2,370950,371
cpu_disturb,credit2,368910,369
cpu_disturb,credit2,363990,364
cpu_disturb,credit2,363350,363
cpu_disturb,credit2,362320,362
cpu_disturb,credit2,359350,359
cpu_disturb,credit2,354940,355
cpu_disturb,credit2,337040,337
nodisturb,credit2,335230,335
cpu_disturb,credit2,331450,331
cpu_disturb,credit2,327620,328
nodisturb,credit2,325760,326
nodisturb,credit2,321980,322
cpu_disturb,credit2,316830,317
cpu_disturb,credit2,315510,316
cpu_disturb,credit2,314880,315
cpu_disturb,credit2,314100,314
cpu_disturb,credit2,311250,311
nodisturb,credit2,309220,309
cpu_disturb,credit2,303210,303
nodisturb,credit2,297800,298
nodisturb,credit2,295360,295
cpu_disturb,credit2,294080,294
nodisturb,credit2,293660,294
cpu_disturb,credit2,291620,292
cpu_disturb,credit2,287650,288
nodisturb,credit2,286570,287
nodisturb,credit2,286410,286
nodisturb,credit2,286090,286
cpu_disturb,credit2,285040,285
cpu_disturb,credit2,280630,281
nodisturb,credit2,280380,280
cpu_disturb,credit2,275760,276
cpu_disturb,credit2,275430,275
nodisturb,credit2,269850,270
cpu_disturb,credit2,269690,270
nodisturb,credit2,267000,267
nodisturb,credit2,264800,265
nodisturb,credit2,262970,263
nodisturb,credit2,254930,255
nodisturb,credit2,251370,251
nodisturb,credit2,246370,246
nodisturb,credit2,242450,242
cpu_disturb,credit2,241350,241
cpu_disturb,credit2,238650,239
nodisturb,credit2,236030,236
cpu_disturb,credit2,233640,234
nodisturb,credit2,233280,233
nodisturb,credit2,228090,228
nodisturb,credit2,223880,224
nodisturb,credit2,223590,224
cpu_disturb,credit2,223310,223
nodisturb,credit2,221830,222
cpu_disturb,credit2,220530,221
nodisturb,credit2,220160,220
cpu_disturb,credit2,219440,219
cpu_disturb,credit2,215800,216
nodisturb,credit2,211520,212
nodisturb,credit2,207500,208
cpu_disturb,credit2,200510,201
nodisturb,credit2,200210,200
cpu_disturb,credit2,199250,199
cpu_disturb,credit2,195180,195
cpu_disturb,credit2,195010,195
cpu_disturb,credit2,191140,191
cpu_disturb,credit2,189280,189
nodisturb,rtds,189140,189
nodisturb,credit2,187590,188
nodisturb,credit2,183200,183
cpu_disturb,credit2,182050,182
cpu_disturb,rtds,180920,181
cpu_disturb,rtds,178560,179
cpu_disturb,rtds,175120,175
cpu_disturb,credit2,173040,173
cpu_disturb,rtds,172420,172
cpu_disturb,rtds,172360,172
cpu_disturb,credit2,172320,172
nodisturb,credit2,171990,172
nodisturb,rtds,170890,171
cpu_disturb,credit2,170090,170
cpu_disturb,rtds,169830,170
cpu_disturb,credit2,169590,170
nodisturb,credit2,169110,169
cpu_disturb,credit2,168100,168
cpu_disturb,rtds,168060,168
cpu_disturb,credit2,166130,166
cpu_disturb,credit2,165850,166
cpu_disturb,rtds,165360,165
cpu_disturb,credit2,164420,164
cpu_disturb,credit2,164030,164
cpu_disturb,credit2,163780,164
nodisturb,rtds,161870,162
cpu_disturb,credit2,159950,160
cpu_disturb,credit2,159120,159
cpu_disturb,credit2,158690,159
cpu_disturb,rtds,158270,158
nodisturb,credit2,157500,158
cpu_disturb,credit2,157480,157
cpu_disturb,credit2,157440,157
nodisturb,credit2,156890,157
cpu_disturb,credit2,155730,156
cpu_disturb,credit2,154170,154
cpu_disturb,credit2,153570,154
cpu_disturb,credit2,153180,153
cpu_disturb,credit2,152200,152
cpu_disturb,credit2,151820,152
cpu_disturb,credit2,151120,151
cpu_disturb,credit2,150980,151
cpu_disturb,credit2,150970,151
cpu_disturb,credit2,150770,151
cpu_disturb,credit2,150690,151
cpu_disturb,credit2,150210,150
cpu_disturb,credit2,148110,148
cpu_disturb,credit2,147940,148
cpu_disturb,credit2,146740,147
nodisturb,rtds,146280,146
nodisturb,credit2,145640,146
nodisturb,rtds,145440,145
cpu_disturb,rtds,145340,145
nodisturb,credit2,145190,145
nodisturb,rtds,145080,145
nodisturb,credit2,144720,145
nodisturb,credit2,143580,144
cpu_disturb,rtds,141660,142
cpu_disturb,credit2,141290,141
nodisturb,credit2,140910,141
nodisturb,rtds,140740,141
nodisturb,credit2,140660,141
cpu_disturb,credit2,140390,140
cpu_disturb,credit2,139560,140
cpu_disturb,credit2,139190,139
cpu_disturb,credit2,138930,139
cpu_disturb,credit2,138120,138
cpu_disturb,credit2,137710,138
cpu_disturb,rtds,137410,137
nodisturb,rtds,136990,137
cpu_disturb,credit2,136780,137
cpu_disturb,credit2,136130,136
nodisturb,credit2,135700,136
cpu_disturb,credit2,135670,136
nodisturb,credit2,135030,135
cpu_disturb,credit2,135020,135
cpu_disturb,credit2,134500,135
nodisturb,credit2,134210,134
cpu_disturb,credit2,133910,134
nodisturb,credit2,132400,132
cpu_disturb,credit2,132080,132
cpu_disturb,credit2,131850,132
cpu_disturb,credit2,131840,132
cpu_disturb,credit2,131820,132
cpu_disturb,credit2,131350,131
cpu_disturb,rtds,130910,131
cpu_disturb,credit2,130190,130
cpu_disturb,credit2,129830,130
cpu_disturb,credit2,129790,130
nodisturb,rtds,129360,129
cpu_disturb,rtds,127740,128
nodisturb,credit2,127720,128
cpu_disturb,credit2,127550,128
nodisturb,rtds,127510,128
nodisturb,credit2,126160,126
cpu_disturb,credit2,126110,126
nodisturb,credit2,126080,126
cpu_disturb,credit2,125710,126
nodisturb,credit2,125630,126
cpu_disturb,rtds,125450,125
cpu_disturb,credit2,125400,125
