disturb,scheduler,max_latency(ns),max_latency(us)
cpu_disturb,credit2,93890,94
cpu_disturb,credit2,92250,92
cpu_disturb,rtds,90300,90
cpu_disturb,credit2,89520,90
cpu_disturb,credit2,88800,89
cpu_disturb,null_sched,88210,88
cpu_disturb,rtds,88120,88
cpu_disturb,null_sched,87470,87
cpu_disturb,rtds,87220,87
cpu_disturb,rtds,86710,87
cpu_disturb,rtds,86530,87
cpu_disturb,rtds,85380,85
cpu_disturb,credit2,85280,85
cpu_disturb,rtds,84910,85
cpu_disturb,rtds,84650,85
cpu_disturb,rtds,83260,83
cpu_disturb,null_sched,83210,83
cpu_disturb,credit2,82590,83
cpu_disturb,null_sched,81530,82
cpu_disturb,credit2,81070,81
cpu_disturb,credit2,80990,81
cpu_disturb,credit2,80580,81
cpu_disturb,rtds,79170,79
cpu_disturb,null_sched,78480,78
cpu_disturb,rtds,78190,78
cpu_disturb,credit2,77350,77
cpu_disturb,credit2,76700,77
cpu_disturb,credit2,75970,76
cpu_disturb,rtds,75860,76
cpu_disturb,credit2,75790,76
cpu_disturb,rtds,75700,76
cpu_disturb,credit2,75590,76
cpu_disturb,credit2,75560,76
cpu_disturb,null_sched,75150,75
cpu_disturb,null_sched,75070,75
cpu_disturb,credit2,74900,75
cpu_disturb,null_sched,74610,75
cpu_disturb,null_sched,74490,74
cpu_disturb,rtds,74330,74
cpu_disturb,credit2,74320,74
cpu_disturb,credit2,74220,74
cpu_disturb,null_sched,74090,74
cpu_disturb,credit2,74080,74
cpu_disturb,rtds,73960,74
cpu_disturb,credit2,73930,74
cpu_disturb,credit2,73690,74
cpu_disturb,rtds,73630,74
cpu_disturb,rtds,73280,73
cpu_disturb,rtds,73080,73
cpu_disturb,credit2,72640,73
cpu_disturb,rtds,72600,73
cpu_disturb,rtds,72590,73
cpu_disturb,null_sched,72530,73
cpu_disturb,rtds,72490,72
cpu_disturb,credit2,72480,72
cpu_disturb,null_sched,72460,72
cpu_disturb,rtds,72320,72
cpu_disturb,credit2,72130,72
cpu_disturb,rtds,72110,72
cpu_disturb,rtds,72100,72
cpu_disturb,rtds,72080,72
cpu_disturb,credit2,71830,72
cpu_disturb,rtds,71820,72
cpu_disturb,credit2,71660,72
cpu_disturb,rtds,71640,72
cpu_disturb,rtds,71640,72
cpu_disturb,rtds,71530,72
cpu_disturb,rtds,71530,72
cpu_disturb,rtds,71500,72
cpu_disturb,null_sched,71450,71
cpu_disturb,rtds,71450,71
cpu_disturb,credit2,71430,71
cpu_disturb,rtds,71350,71
cpu_disturb,rtds,71320,71
cpu_disturb,rtds,71280,71
cpu_disturb,rtds,71240,71
cpu_disturb,credit2,71230,71
cpu_disturb,rtds,71200,71
cpu_disturb,rtds,71200,71
cpu_disturb,rtds,71170,71
cpu_disturb,null_sched,71150,71
cpu_disturb,rtds,71040,71
cpu_disturb,credit2,70980,71
cpu_disturb,rtds,70980,71
cpu_disturb,rtds,70960,71
cpu_disturb,rtds,70940,71
cpu_disturb,credit2,70870,71
cpu_disturb,rtds,70850,71
cpu_disturb,rtds,70840,71
cpu_disturb,rtds,70820,71
cpu_disturb,credit2,70800,71
cpu_disturb,credit2,70780,71
cpu_disturb,rtds,70770,71
cpu_disturb,credit2,70740,71
