disturb,max_latency(ns),max_latency(us),Residuo max_latency(us)
cpu_disturb,88210,88,"19,176333333"
cpu_disturb,87470,87,"18,436333333"
cpu_disturb,83210,83,"14,176333333"
cpu_disturb,81530,82,"12,496333333"
cpu_disturb,78480,78,"9,4463333333"
cpu_disturb,75150,75,"6,1163333333"
cpu_disturb,75070,75,"6,0363333333"
cpu_disturb,74610,75,"5,5763333333"
cpu_disturb,74490,74,"5,4563333333"
cpu_disturb,74090,74,"5,0563333333"
cpu_disturb,72530,73,"3,4963333333"
cpu_disturb,72460,72,"3,4263333333"
cpu_disturb,71450,71,"2,4163333333"
cpu_disturb,71150,71,"2,1163333333"
cpu_disturb,70720,71,"1,6863333333"
cpu_disturb,70640,71,"1,6063333333"
cpu_disturb,70620,71,"1,5863333333"
cpu_disturb,70510,71,"1,4763333333"
cpu_disturb,70340,70,"1,3063333333"
cpu_disturb,70300,70,"1,2663333333"
cpu_disturb,70260,70,"1,2263333333"
cpu_disturb,70250,70,"1,2163333333"
cpu_disturb,70220,70,"1,1863333333"
cpu_disturb,70090,70,"1,0563333333"
cpu_disturb,70000,70,"0,9663333333"
cpu_disturb,69980,70,"0,9463333333"
cpu_disturb,69950,70,"0,9163333333"
cpu_disturb,69820,70,"0,7863333333"
cpu_disturb,69810,70,"0,7763333333"
cpu_disturb,69800,70,"0,7663333333"
cpu_disturb,69780,70,"0,7463333333"
cpu_disturb,69750,70,"0,7163333333"
cpu_disturb,69710,70,"0,6763333333"
cpu_disturb,69550,70,"0,5163333333"
cpu_disturb,69530,70,"0,4963333333"
cpu_disturb,69520,70,"0,4863333333"
cpu_disturb,69520,70,"0,4863333333"
cpu_disturb,69490,69,"0,4563333333"
cpu_disturb,69450,69,"0,4163333333"
cpu_disturb,69410,69,"0,3763333333"
cpu_disturb,69380,69,"0,3463333333"
cpu_disturb,69350,69,"0,3163333333"
cpu_disturb,69330,69,"0,2963333333"
cpu_disturb,69280,69,"0,2463333333"
cpu_disturb,69160,69,"0,1263333333"
cpu_disturb,69120,69,"0,0863333333"
cpu_disturb,69110,69,"0,0763333333"
cpu_disturb,69090,69,"0,0563333333"
cpu_disturb,69090,69,"0,0563333333"
