disturb,max_latency(us),domain
cpu_disturb,88,domU
cpu_disturb,87,domU
cpu_disturb,83,domU
cpu_disturb,82,domU
cpu_disturb,78,domU
cpu_disturb,75,domU
cpu_disturb,75,domU
cpu_disturb,75,domU
cpu_disturb,74,domU
cpu_disturb,74,domU
cpu_disturb,73,domU
cpu_disturb,72,domU
cpu_disturb,71,domU
cpu_disturb,71,domU
cpu_disturb,71,domU
cpu_disturb,71,domU
cpu_disturb,71,domU
cpu_disturb,71,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,70,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,69,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,68,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,67,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,66,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
cpu_disturb,65,domU
nodisturb,56,domU
nodisturb,44,domU
nodisturb,44,domU
nodisturb,44,domU
nodisturb,43,domU
nodisturb,43,domU
nodisturb,43,domU
nodisturb,43,domU
nodisturb,43,domU
nodisturb,43,domU
nodisturb,43,domU
nodisturb,42,domU
nodisturb,42,domU
nodisturb,42,domU
nodisturb,42,domU
nodisturb,42,domU
nodisturb,42,domU
nodisturb,42,domU
nodisturb,42,domU
nodisturb,42,domU
nodisturb,41,domU
nodisturb,41,domU
nodisturb,41,domU
nodisturb,41,domU
nodisturb,41,domU
nodisturb,41,domU
nodisturb,41,domU
nodisturb,41,domU
nodisturb,41,domU
nodisturb,41,domU
net_disturb,56,domU
net_disturb,54,domU
net_disturb,56,domU
net_disturb,57,domU
net_disturb,57,domU
net_disturb,54,domU
net_disturb,53,domU
net_disturb,57,domU
net_disturb,58,domU
net_disturb,58,domU
net_disturb,56,domU
net_disturb,54,domU
net_disturb,57,domU
net_disturb,56,domU
net_disturb,54,domU
net_disturb,57,domU
net_disturb,55,domU
net_disturb,56,domU
net_disturb,53,domU
net_disturb,74,domU
net_disturb,54,domU
net_disturb,52,domU
net_disturb,57,domU
net_disturb,56,domU
net_disturb,54,domU
net_disturb,57,domU
net_disturb,56,domU
net_disturb,54,domU
net_disturb,54,domU
net_disturb,56,domU
io_disturb,110,domU
io_disturb,119,domU
io_disturb,114,domU
io_disturb,116,domU
io_disturb,106,domU
io_disturb,130,domU
io_disturb,124,domU
io_disturb,111,domU
io_disturb,113,domU
io_disturb,118,domU
io_disturb,93,domU
io_disturb,105,domU
io_disturb,113,domU
io_disturb,108,domU
io_disturb,107,domU
io_disturb,123,domU
io_disturb,118,domU
io_disturb,109,domU
io_disturb,114,domU
io_disturb,101,domU
io_disturb,97,domU
io_disturb,109,domU
io_disturb,127,domU
io_disturb,103,domU
io_disturb,115,domU
io_disturb,111,domU
io_disturb,109,domU
io_disturb,106,domU
io_disturb,107,domU
interrupt_disturb,145,domU
interrupt_disturb,120,domU
interrupt_disturb,110,domU
interrupt_disturb,113,domU
interrupt_disturb,107,domU
interrupt_disturb,101,domU
interrupt_disturb,114,domU
interrupt_disturb,109,domU
interrupt_disturb,114,domU
interrupt_disturb,120,domU
interrupt_disturb,118,domU
interrupt_disturb,120,domU
interrupt_disturb,141,domU
interrupt_disturb,111,domU
interrupt_disturb,110,domU
interrupt_disturb,110,domU
interrupt_disturb,112,domU
interrupt_disturb,107,domU
interrupt_disturb,142,domU
interrupt_disturb,108,domU
interrupt_disturb,114,domU
interrupt_disturb,108,domU
interrupt_disturb,113,domU
interrupt_disturb,111,domU
interrupt_disturb,116,domU
interrupt_disturb,112,domU
interrupt_disturb,119,domU
interrupt_disturb,122,domU
interrupt_disturb,110,domU
interrupt_disturb,109,domU
device_disturb,76,domU
device_disturb,74,domU
device_disturb,77,domU
device_disturb,76,domU
device_disturb,77,domU
device_disturb,97,domU
device_disturb,78,domU
device_disturb,77,domU
device_disturb,75,domU
device_disturb,76,domU
