max_latency(us),domain
88,domU
87,domU
83,domU
82,domU
78,domU
75,domU
75,domU
75,domU
74,domU
74,domU
73,domU
72,domU
71,domU
71,domU
71,domU
71,domU
71,domU
71,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
70,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
69,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
68,domU
67,domU
67,domU
67,domU
67,domU
67,domU
67,domU
67,domU
67,domU
67,domU
67,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
66,domU
65,domU
65,domU
65,domU
65,domU
65,domU
65,domU
65,domU
65,domU
65,domU
65,domU
65,domU
56,domU
44,domU
44,domU
44,domU
43,domU
43,domU
43,domU
43,domU
43,domU
43,domU
43,domU
42,domU
42,domU
42,domU
42,domU
42,domU
42,domU
42,domU
42,domU
42,domU
41,domU
41,domU
41,domU
41,domU
41,domU
41,domU
41,domU
41,domU
41,domU
41,domU
56,domU
54,domU
56,domU
57,domU
57,domU
54,domU
53,domU
57,domU
58,domU
58,domU
56,domU
54,domU
57,domU
56,domU
54,domU
57,domU
55,domU
56,domU
53,domU
74,domU
54,domU
52,domU
57,domU
56,domU
54,domU
57,domU
56,domU
54,domU
54,domU
56,domU
110,domU
119,domU
114,domU
116,domU
106,domU
130,domU
124,domU
111,domU
113,domU
118,domU
93,domU
105,domU
113,domU
108,domU
107,domU
123,domU
118,domU
109,domU
114,domU
101,domU
97,domU
109,domU
127,domU
103,domU
115,domU
111,domU
109,domU
106,domU
107,domU
145,domU
120,domU
110,domU
113,domU
107,domU
101,domU
114,domU
109,domU
114,domU
120,domU
118,domU
120,domU
141,domU
111,domU
110,domU
110,domU
112,domU
107,domU
142,domU
108,domU
114,domU
108,domU
113,domU
111,domU
116,domU
112,domU
119,domU
122,domU
110,domU
109,domU
76,domU
74,domU
77,domU
76,domU
77,domU
97,domU
78,domU
77,domU
75,domU
76,domU
76,domU
76,domU
83,domU
78,domU
80,domU
77,domU
75,domU
76,domU
76,domU
77,domU
77,domU
76,domU
77,domU
73,domU
76,domU
76,domU
77,domU
106,domU
77,domU
73,domU
101,domU
127,domU
97,domU
97,domU
102,domU
99,domU
100,domU
104,domU
97,domU
98,domU
95,domU
102,domU
103,domU
98,domU
125,domU
104,domU
125,domU
96,domU
125,domU
126,domU
103,domU
98,domU
102,domU
103,domU
104,domU
98,domU
102,domU
104,domU
100,domU
103,domU
90,domU
96,domU
88,domU
120,domU
90,domU
113,domU
92,domU
89,domU
90,domU
90,domU
90,domU
88,domU
90,domU
90,domU
90,domU
92,domU
90,domU
91,domU
91,domU
92,domU
119,domU
87,domU
92,domU
86,domU
91,domU
92,domU
90,domU
89,domU
87,domU
90,domU
189,dom0
161,dom0
157,dom0
154,dom0
160,dom0
152,dom0
156,dom0
152,dom0
192,dom0
155,dom0
156,dom0
155,dom0
157,dom0
188,dom0
156,dom0
154,dom0
154,dom0
152,dom0
156,dom0
152,dom0
187,dom0
190,dom0
154,dom0
154,dom0
187,dom0
157,dom0
152,dom0
180,dom0
155,dom0
155,dom0
91,dom0
91,dom0
91,dom0
91,dom0
92,dom0
113,dom0
91,dom0
91,dom0
93,dom0
90,dom0
92,dom0
109,dom0
91,dom0
114,dom0
92,dom0
91,dom0
93,dom0
92,dom0
93,dom0
91,dom0
91,dom0
91,dom0
92,dom0
91,dom0
92,dom0
91,dom0
96,dom0
97,dom0
100,dom0
91,dom0
91,dom0
106,dom0
91,dom0
93,dom0
92,dom0
91,dom0
89,dom0
96,dom0
90,dom0
98,dom0
91,dom0
97,dom0
90,dom0
96,dom0
92,dom0
92,dom0
96,dom0
92,dom0
90,dom0
101,dom0
91,dom0
91,dom0
96,dom0
95,dom0
98,dom0
92,dom0
92,dom0
93,dom0
93,dom0
114,dom0
91,dom0
94,dom0
97,dom0
91,dom0
92,dom0
91,dom0
92,dom0
92,dom0
91,dom0
93,dom0
91,dom0
90,dom0
111,dom0
91,dom0
92,dom0
92,dom0
93,dom0
109,dom0
91,dom0
91,dom0
92,dom0
93,dom0
91,dom0
93,dom0
90,dom0
91,dom0
91,dom0
91,dom0
95,dom0
93,dom0
92,dom0
91,dom0
90,dom0
110,dom0
92,dom0
97,dom0
109,dom0
92,dom0
91,dom0
92,dom0
93,dom0
93,dom0
92,dom0
92,dom0
93,dom0
112,dom0
91,dom0
97,dom0
92,dom0
109,dom0
93,dom0
111,dom0
92,dom0
91,dom0
91,dom0
93,dom0
91,dom0
95,dom0
93,dom0
90,dom0
106,dom0
129,dom0
106,dom0
109,dom0
108,dom0
108,dom0
126,dom0
108,dom0
105,dom0
132,dom0
133,dom0
125,dom0
105,dom0
107,dom0
108,dom0
107,dom0
109,dom0
109,dom0
110,dom0
108,dom0
123,dom0
108,dom0
108,dom0
107,dom0
108,dom0
108,dom0
108,dom0
106,dom0
107,dom0
127,dom0
142,dom0
143,dom0
142,dom0
144,dom0
145,dom0
145,dom0
143,dom0
144,dom0
145,dom0
145,dom0
145,dom0
168,dom0
